provincia,organizacion,nro_identificacion
BUENOS AIRES,ASOCIACION CIVIL UNION DE COMUNIDADES POR EL TRABAJO Y LA DIGNIDAD - BS. AS.                                                                    ,INACTIVO *
BUENOS AIRES,ASOCIACION  COOPERADORA DEL JARDIN DE INFANTES Nº 927,INACTIVO *
BUENOS AIRES,ASOCIACION ARGENTINA ENCUENTRO CON LA VIDA,INACTIVO *
BUENOS AIRES,ASOCIACION BARRIAL LEALTAD                                                                          ,INACTIVO *
BUENOS AIRES,"ASOCIACION CIVIL ""PROYECTO HORIZONTE""",INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL ARTISTAS UNIDOS AZULEÑOS,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL BARRIOS UNIDOS DE LONGCHAMPS,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL CENTRO COMUNITARIO BARRIO PUENTE DE FIERRO                                                ,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL COMEDOR MATERNO INFANTIL,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL COMUNIDAD EN MISION,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL CONSTRUYENDO ESPERANZA,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL DE MUJERES SOLIDARIAS DE LA MATANZA,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL EDUCADORES POPULARES PARA UNA ESCUELA BARRIAL ALTERNATIVA ( EPEBA),INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL EMPLEO JOVEN,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL JOSE HERNANDEZ ,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL LLEDSE OSUN DOYO,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL LOS DIAMANTES DE MARILO,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL LOS MARIANITOS,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL MANOS UNIDAS -- LA PLATA,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL MI ILUSION                                                                                          ,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL MOVIMIENTO CARISMATICO NUEVA VIDA                                                  ,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL POR LOS PIBES,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL RINCON MATERNAL,INACTIVO *
BUENOS AIRES,ASOCIACION COMUNITARIA EVALU,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DE LA ESCUELA EPB Nº 80,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL CENTRO EDUCATIVO DE NIVEL SECUNDARIO,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN DE INFANTES Nº 922,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA E.P.B. Nº 12 JAUNA AZURDUY,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA EPB Nº 20 FLORESTANO ANDRADE,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA ESCUELA EDUCACION TECNICA Nº 2,INACTIVO *
BUENOS AIRES,ASOCIACION DEL DISCAPACITADO 10 DE JUNIO,INACTIVO *
BUENOS AIRES,ASOCIACION FRENTE MARPLANTENSE ( EX - HIJOS DEL CORAZON),INACTIVO *
BUENOS AIRES,"ASOCIACION MUTUAL ""EL PORVENIR""",INACTIVO *
BUENOS AIRES,ASOCIACION PLATENSE DE AYUDA A LAS PERSONAS CON CAPACIDADES DIFERENTES (APCADI),INACTIVO *
BUENOS AIRES,ASOCIACION VECINAL LA BOYERA,INACTIVO *
BUENOS AIRES,BIBLIOTECA POPULAR OSCAR DEL RIO,INACTIVO *
BUENOS AIRES,BRIGADA ECOLOGICA JUVENIL DE SAN MIGUEL                                                             ,INACTIVO *
BUENOS AIRES,C.D.I. LAS ARDILLITAS,INACTIVO *
BUENOS AIRES,CAMARA DE MICRO Y PEQUEÑOS EMPRESARIOS DE TIGRE - BS. AS.                                                                                  ,INACTIVO *
BUENOS AIRES,CARITAS ARGENTINA - DIOCESIS SAN MIGUEL                                                             ,INACTIVO *
BUENOS AIRES,CASA DEL NIÑO Y JARDIN MATERNO FATIMA                                                               ,INACTIVO *
BUENOS AIRES,CASA DEL NIÑO SAN AGUSTIN                                                                           ,INACTIVO *
BUENOS AIRES,CENTRO COMUNITARIO MI QUERIDA FLOR DE CEIBO                                                         ,INACTIVO *
BUENOS AIRES,CENTRO CULTURAL Y BIBLIOTECAS AL ARTE,INACTIVO *
BUENOS AIRES,CENTRO DE APOYO COMUNITARIO SAN FERNANDO,INACTIVO *
BUENOS AIRES,CENTRO DE JUBILADOS PENSIONADOS DE LA TERCERA EDAD EMANUEL,INACTIVO *
BUENOS AIRES,CENTRO DE JUBILADOS PENSIONADOS Y TERCERA EDAD RENACER A LA VIDA,INACTIVO *
BUENOS AIRES,CENTRO DE PARTICIPACION LA CASITA,INACTIVO *
BUENOS AIRES,CENTRO IDEB - MORENO,INACTIVO *
BUENOS AIRES,CENTRO MODELO DE CAPACITACION ARTES Y OFICIOS,INACTIVO *
BUENOS AIRES,CLUB DE MADRES NUEVA ANA,INACTIVO *
BUENOS AIRES,CLUB DE MADRES REY DE REYES,INACTIVO *
BUENOS AIRES,CLUB DE MADRES SANTA TERESITA - COMEDOR DE LOS ABUELOS                                              ,INACTIVO *
BUENOS AIRES,CLUB DE MADRES TRABAJADORAS VECINALES,INACTIVO *
BUENOS AIRES,CLUB SOCIAL Y POLIDEPORTIVO GRAND BOURG,INACTIVO *
BUENOS AIRES,COMEDOR ARCO IRIS                                                                                   ,INACTIVO *
BUENOS AIRES,CONSORCIO DE GESTION PARA EL DESARROLLO LOCAL EN LA PCIA DE BS. AS.,INACTIVO *
BUENOS AIRES,CONSTRUIR FUTUROS - HURLINGHAM,INACTIVO *
BUENOS AIRES,COOPERATIVA DE TRABAJO APROADIS (APOYO Y PROTECCION A PERSONAS CON DISCAPACIDAD LIMITADA),INACTIVO *
BUENOS AIRES,"COOPERATIVA DE TRABAJO, ARTES GRAFICAS Y MEDIOS DE DIFUSION RADIAL Y TELEVISIVOS MEDJUGORGE LIMITADA Y TODO SERVICIO",INACTIVO *
BUENOS AIRES,DESARROLLO LOCAL SUSTENTABLE,INACTIVO *
BUENOS AIRES,EL BUEN SAMARITANO                                                                                  ,INACTIVO *
BUENOS AIRES,FUNDACION ALTERNATIVA 3 ESTRATEGIAS DE DESARROLLO LOCAL,INACTIVO *
BUENOS AIRES,FUNDACION ASISTENCIAL MATERNO INFANTIL DE AYUDA A NIÑOS CARENCIADOS Y DISCAPACITADOS (FUNDAMIND),INACTIVO *
BUENOS AIRES,FUNDACION PARA LA EDUCACION Y EL TRABAJO,INACTIVO *
BUENOS AIRES,FUNDACION PRO HUMANAE VITAE,INACTIVO *
BUENOS AIRES,FUNDACION SABER COMO,INACTIVO *
BUENOS AIRES,FUNDACION SAN JOSE PROVIDENTE,INACTIVO *
BUENOS AIRES,FUNDACION TODAVIA ES TIEMPO                                                                         ,INACTIVO *
BUENOS AIRES,FUNDACION UMBRALES DEL TERCER MILENIO,INACTIVO *
BUENOS AIRES,INSTITUTO DE ESTUDIOS POLITICOS Y SOCIALES DE ITUZAINGO,INACTIVO *
BUENOS AIRES,INSTITUTO DE FORMACION Y TRABAJO A.G,INACTIVO *
BUENOS AIRES,INSTITUTO INTERNACIONAL DE MEDIO AMBIENTE Y DESARROLLO - AMERICA LATINA,INACTIVO *
BUENOS AIRES,JARDIN MATERNAL COMUNITARIO Y CULTURAL LOS PINITOS                                                  ,INACTIVO *
BUENOS AIRES,JUNTA VECINAL UNIDAD Y LUCHA,INACTIVO *
BUENOS AIRES,LA GLORIA DE SANTA BRIGIDA,INACTIVO *
BUENOS AIRES,LOS NIÑOS PRIMERO COMEDOR INFANTIL ASOCIACION CIVIL                                                     ,INACTIVO *
BUENOS AIRES,LOS PEQUEÑOS ANGELITOS                                                                              ,INACTIVO *
BUENOS AIRES,MANOS ESPECIALES TRABAJANDO - LA PLATA,INACTIVO *
BUENOS AIRES,MANZANERAS Y COMADRES POR LA VIDA,INACTIVO *
BUENOS AIRES,MESA MULTISECTORIAL DE LA MUJER                                                                     ,INACTIVO *
BUENOS AIRES,MUNICIPALIADAD DE MALVINAS ARGENTINAS,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE BALCARCE,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE FLORENTINO AMEGHINO,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE GENERAL GUIDO,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE LEANDRO N. ALEM - BUENOS AIRES,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE PERGAMINO,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE ROJAS,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE TIGRE,INACTIVO *
BUENOS AIRES,NUESTRO BARRIO ASOCIACION CIVIL Y BIBLIOTECA POPULAR,INACTIVO *
BUENOS AIRES,PARQUE VIVERO LOS AROMILLOS,INACTIVO *
BUENOS AIRES,POR LOS DERECHOS SOCIALES DE LOS NIÑOS                                                              ,INACTIVO *
BUENOS AIRES,PROYECCION NECOCHENSE,INACTIVO *
BUENOS AIRES,RED CIMIENTOS,INACTIVO *
BUENOS AIRES,RED DE APOYO ESCOLAR Y EDUCACION COMPLEMENTARIA                                                     ,INACTIVO *
BUENOS AIRES,RED SOLIDARIA DEL CUARTEL V ABRIENDO CAMINOS                                                        ,INACTIVO *
BUENOS AIRES,SOCIEDAD DE FOMENTO BARRIO ARGENTINO,INACTIVO *
BUENOS AIRES,SOCIEDAD DE FOMENTO DEL VIDEO ALTERNATIVO  (SOFOVIAL),INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL TODOS JUNTOS PODEMOS,INACTIVO *
BUENOS AIRES,UNIDOS DE PUNTA LARA,INACTIVO *
BUENOS AIRES,ZINGARA,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL LA CHISPA,INACTIVO *
BUENOS AIRES,COOPERATIVA DE TRABAJO UNI2 LIMITADA,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL CENTRO COMUNITARIO VECINAL EL ALFARERO,INACTIVO *
BUENOS AIRES,CENTRO PEDAGOGICO DE LA PLATA,INACTIVO *
BUENOS AIRES,ASOCIACION COOPADORA DEL JARDIN DE INFANTES Nº 918,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA JARDIN DE INFANTES Nº 909,INACTIVO *
BUENOS AIRES,CENTRO DE ESTUDIOS PARA LA AUTOGESTION DE LA ECONOMIA,INACTIVO *
BUENOS AIRES,"INSTITUTO MUNICIPAL DE LA PRODUCCION, EL TRABAJO Y EL COMERCIO EXTERIOR (IMPTCE)",INACTIVO *
BUENOS AIRES,SOCIEDAD DE FOMENTO PARQUE EXALTACION,INACTIVO *
BUENOS AIRES,A.P.A.N.N.E (ASOCIACION DE PARES Y AMIGOS DEL NIÑO NEUROLOGICO DE ESCOBAR),INACTIVO *
BUENOS AIRES,CENTRO DE ESTUDIOS PARA LA NUEVA ARGENTINA,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN DE INFANTES Nº 911,INACTIVO *
BUENOS AIRES,MOVIMIENTO DE ORGANIZACIONES SOCIALES BONAERENSES,INACTIVO *
BUENOS AIRES,ASOCIACION COOPEADORA DEL ESTABLECIMIENTO EDUCATIVO JARDIN DE INFANTES Nº 982,INACTIVO *
BUENOS AIRES,SOCIEDAD DE BOMBEROS VOLUNTARIOS DE CARMEN DE ARECO,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN DE INFANTES Nº 970,INACTIVO *
BUENOS AIRES,COOPERATIVA DE TRABAJO LA USINA DE IDEAS LIMITADA,INACTIVO *
BUENOS AIRES,"CLUB SOCIAL, CULTURAL Y DEPORTIVO LA CRUZADA",INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DE LA E.S.B Nº 27,INACTIVO *
BUENOS AIRES,CLUB SOCIAL Y DEPORTIVO PRESIDENTE DERQUI,INACTIVO *
BUENOS AIRES,CAMARA DE EMPRENDEDORES SOLIDARIOS,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL ACCENTO,INACTIVO *
BUENOS AIRES,SOCIEDAD DE BOMBEROS VOLUNTARIOS DE ESCOBAR,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA ESCUELA PRIMARIA BASICA Nº 3,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA ESCUELA EPB Nº 4,INACTIVO *
BUENOS AIRES,JARDIN DE INFANTES Nº907,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN DE INFANTES Nº 901,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA JARDIN DE INFANTES Nº 910,INACTIVO *
BUENOS AIRES,CENTRO DE FOMENTO CULTURAL Y DEPORTIVO MIGUEL DE AZCUENAGA,INACTIVO *
BUENOS AIRES,INSTITUTO FEDERAL PARA EL DESARROLLO (IFEDE),INACTIVO *
BUENOS AIRES,ACCION JUVENIL,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL ESTRATEGIA SOCIAL DEL SUR,INACTIVO *
BUENOS AIRES,SOCIEDAD DE FOMENTO BARRIO MARTIN CORONADO I,INACTIVO *
BUENOS AIRES,ESPERANZA VECINAL DEL BARRIO MARILO,INACTIVO *
BUENOS AIRES,FUNDACION PREVENCION Y ASISTENCIA EN SALUD MENTAL PRASAM,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL AMPARO,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA E.G.B. Nº 28,INACTIVO *
BUENOS AIRES,CENTRO CRISTIANO CORDERO DE DIOS,INACTIVO *
BUENOS AIRES,CENTRO VECINAL FRANCISCO VARGAS,INACTIVO *
BUENOS AIRES,ASOCIACION PADRES SOLIDARIOS,INACTIVO *
BUENOS AIRES,BARRIOS DEL PLATA,INACTIVO *
BUENOS AIRES,ASOCIACION CENTRO PARA LA NIÑEZ,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL AMOR Y RESPETO AL PROJIMO PARA FAMILIAS DE VICTIMAS DE TRANSITO,INACTIVO *
BUENOS AIRES,GRUPO CULTURAL AL BORDE,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN DE INFANTES Nº 939,INACTIVO *
BUENOS AIRES,COMEDOR Y COPA DE LECHE LAS TABLITAS,INACTIVO *
BUENOS AIRES,COOPERATIVA DE TRABAJO FERRO GRAF LIMITADA,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL CULTURAL Y LATINOAMERICANA,INACTIVO *
BUENOS AIRES,FUERZA Y DIGNIDAD,INACTIVO *
BUENOS AIRES,COOPERADORA HOSPITAL DR. MARIO VICTOR LARRAIN,INACTIVO *
BUENOS AIRES,NUESTRO ESPACIO ABIERTO,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN DE INFANTES Nº 905,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN DE INFANTES Nº 974,INACTIVO *
BUENOS AIRES,EL AVE FENIX CON GENTE DE MALVINAS ARGENTINAS,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL PELDAÑOS,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA ESCUELA DE EDUCACION ESPECIAL Nº 534,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA E.S.B. Nº 40,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA E.E.E. Nº 528,INACTIVO *
BUENOS AIRES,FUNDACION S.O.S. INFANTIL,INACTIVO *
BUENOS AIRES,SOCIEDAD DE FOMENTO VECINAL ARROYO FELICARIA Y BIBLIOTECA POPULAR SANTA GENOVEVA,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE VICENTE LOPEZ,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN DE INFANTES Nº 904,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA ESCUELA DE EDUCACION ESPECIAL Nº 531,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL JARDIN MATERNAL Nº 1 MARIQUITA SANCHEZ DE THOMPSON,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA E.P.B. Nº 15,INACTIVO *
BUENOS AIRES,S.O.S. VAMOS CRECIENDO,INACTIVO *
BUENOS AIRES,C.E.D.E.M.,INACTIVO *
BUENOS AIRES,"LOS RANQUELES, ORGANIZACION DE AJEDREZ ESCOLAR, SOCIAL Y PROFESIONAL",INACTIVO *
BUENOS AIRES,ASOCIACION MUTUAL PARA EL FOMENTO DE LA CULTURA,INACTIVO *
BUENOS AIRES,BIBLIOTECA POPULAR JUAN XXIII,INACTIVO *
BUENOS AIRES,FUNDACION PROYECTO EMPRENDER (PROEM),INACTIVO *
BUENOS AIRES,VOLVERE Y SERE MILLONES,INACTIVO *
BUENOS AIRES,CLUB DEPORTIVO Y SOCIAL SAN LORENZO,INACTIVO *
BUENOS AIRES,A.P.R.E. ASOCIACION PREVENCION Y RECUPERACION POR ESTUPEFACIENTES,INACTIVO *
BUENOS AIRES,FUNDACION MANOS UNIDAS POR LA PAZ,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL HOSPITAL ZONAL DE AGUDOS GENERAL MANUEL BELGRANO,INACTIVO *
BUENOS AIRES,FUNDACION ROLANDO ZANETTA,INACTIVO *
BUENOS AIRES,A.I.D.R.A. ASAMBLEA INTEGRADORA DE RELIGIONES AFRO AMERICANAS,INACTIVO *
BUENOS AIRES,TALLER PROTEGIDO DE GENERAL ALVEAR CUDAU CHE,INACTIVO *
BUENOS AIRES,SELORAS DE LA CONFERENCIA DE SAN JOSE,INACTIVO *
BUENOS AIRES,ASOCIACION VECINAL VILLA NUEVE DE JULIO,INACTIVO *
BUENOS AIRES,MUSEO DEL JUGUETE,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE COLON,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL 17 DE NOVIEMBRE PARQUE SAN MARTIN,INACTIVO *
BUENOS AIRES,ASOCIACION MUTUAL DE TRABAJADORES DE SALAS DE JUEGOS Y AFINES,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE GENERAL BELGRANO,INACTIVO *
BUENOS AIRES,CASA ABIERTA MARIA PUEBLO,INACTIVO *
BUENOS AIRES,ASOCIACION DE PROMOCION Y FOMENTO DEL ARTE Y LAQ CULTURA EL SEPTIMO FUEGO,INACTIVO *
BUENOS AIRES,LOS TILOS ASOCIACION CIVIL,INACTIVO *
BUENOS AIRES,BIBLIOTECA POPULAR Y CENTRO CULTURAL EL TALAR,INACTIVO *
BUENOS AIRES,A TODO CORAZON,INACTIVO *
BUENOS AIRES,INVESTIGACIONES CIENTIFICAS Y TECNOLOGICAS INDEPENDIENTES,INACTIVO *
BUENOS AIRES,HOGAR INFANTIL EVANGELICO EL AMANECER,INACTIVO *
BUENOS AIRES,MAHATMA GANDHI,INACTIVO *
BUENOS AIRES,ASOCIACION AYUDA AL HOSPITAL MUNICIPAL DOCTOR NICOLAS BOCCUZZI,INACTIVO *
BUENOS AIRES,GRUPO FILANTROPICO IUVENELIS,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA MIGUEL SANCHEZ,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL NUEVO ARCOBALENO,INACTIVO *
BUENOS AIRES,LA VIA SOCIAL Y CULTURAL,INACTIVO *
BUENOS AIRES,COLECTIVO CONTRACULTURAL 215,INACTIVO *
BUENOS AIRES,CENTRO COMUNITARIO MUNICIPAL DE PELLEGRINI,INACTIVO *
BUENOS AIRES,SOCIEDAD DE FOMENTO LOS FRUTALES,INACTIVO *
BUENOS AIRES,ECO RAICES,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE AYACUCHO,INACTIVO *
BUENOS AIRES,FUNDACION COMUNIDAD JULIO CORTAZAR,INACTIVO *
BUENOS AIRES,PROYECTO SOLANO COOPERATIVA DE TRABAJO LIMITADA,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DE LA ESCUELA PRIMARIA BASICA Nº 22 PROVINCIA DE LA RIOJA,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DE LA ESCUELA PRIMARIA BASICA Nº 9,INACTIVO *
BUENOS AIRES,IGLESIA EVANGELICA PENTECOSTAL JESUS ES MI SEÑOR,INACTIVO *
BUENOS AIRES,LA CONURBANA,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL CENTRO DE EDUCACION DE ADULTOS Nº 725,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL MADRE TERESA,INACTIVO *
BUENOS AIRES,PUNTO DE UNION ASOCIACION CIVIL,INACTIVO *
BUENOS AIRES,CENTRO DE COMERCIANTES E INDUSTRIALES DE COLON,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA HOSPITAL EVITA PUEBLO,INACTIVO *
BUENOS AIRES,CLUB SOCIAL CULTURAL Y DEPORTIVO GIMNASIA Y ESGRIMA,INACTIVO *
BUENOS AIRES,ASOCIACION PRO REHABILITACION INFANTIL LA PLATA (A.P.R.I.L.P.),INACTIVO *
BUENOS AIRES,ASOCIACION VECINAL DE FOMENTO Y CULTURA PARQUE QUIRNO,INACTIVO *
BUENOS AIRES,CIRCULO UNIVERSITARIO DE AVELLANEDA,INACTIVO *
BUENOS AIRES,CLUB CICLISTA CHIVILCOY,INACTIVO *
BUENOS AIRES,COOPERATIVA DE TRABAJO PUPORE LIMITADA,INACTIVO *
BUENOS AIRES,COOPAR CONSULTORA COOPERATIVA DE TRABAJO LIMITADA,INACTIVO *
BUENOS AIRES,CENTRO DE ESTUDIOS Y FORMACION RICARDO ROJAS,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DE LA ESCUELA EDUCACION MEDIA Nº 4,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL ESTABLECIMIENTO EDUCATIVO EPB Nº 5,INACTIVO *
BUENOS AIRES,COOPERATIVA DE TRABAJO LAHIARA LIMITADA,INACTIVO *
BUENOS AIRES,CENTRO DE DIA EL ALERO,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DE LA ESCUELA DE EDUACION MEDIA Nº 8,INACTIVO *
BUENOS AIRES,ASOCIACION COOPERADORA DEL INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº 36,INACTIVO *
BUENOS AIRES,FORJAR,INACTIVO *
BUENOS AIRES,ASOCIACION CIVIL TENDIENDO LAZOS,INACTIVO *
BUENOS AIRES,LABRANZA DE MORENO,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE GENERAL MADARIAGA,INACTIVO *
BUENOS AIRES,ALFREDO MARCENAC,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE CARMEN PATAGONES,INACTIVO *
BUENOS AIRES,MUNICIPALIDAD DE ESCOBAR,INACTIVO *
BUENOS AIRES,ORGANIZACIÓN DE ARBITROS OESTE MORON,INACTIVO *
BUENOS AIRES,FUNDACION TEATRO ARGENTINO DE LA PLATA,INACTIVO *
BUENOS AIRES,"CENTRO DE JUBILADOS, RETIRADOS, PENSIONADOS Y ADHERENTES LA CAUTIVA",INACTIVO *
BUENOS AIRES,ACCION BAHIENSE COMUNITARIA,2740
BUENOS AIRES,AGENCIA DE DESARROLLO CAÑUELAS,1629
BUENOS AIRES,AGENCIA DE DESARROLLO PRODUCTIVO (ANTES CENTRO IDEB),2089
BUENOS AIRES,AMIGOS CENTRO INTEGRAL CASA DEL NIÑO LOURDES,1110
BUENOS AIRES,ASOCIACION CIVIL COMPROMISO POR LA VIGENCIA DE LOS DERECHOS HUMANOS Y SOCIALES - BS. AS.                                                        ,663
BUENOS AIRES,ASOCIACION  EMPLEADOS DE CASINO PRO AYUDA A LA NIÑEZ DESAMPARADA  - A.P.A.N.D.                       ,1133
BUENOS AIRES,ASOCIACION APOYO FAMILIAR CASA DEL NIÑO ABRIENDO CAMINOS                                            ,784
BUENOS AIRES,ASOCIACION APOYO FAMILIAR CASA DEL NIÑO ENCUENTRO                                                   ,381
BUENOS AIRES,ASOCIACION ATLETICA CULTURAL Y RECREATIVA DESARROLLOS DEPORTIVOS DEL SUR                            ,489
BUENOS AIRES,ASOCIACION CASAS DE LA COMUNIDAD,466
BUENOS AIRES,"ASOCIACION CIVIL ""CENTRO COMUNITARIO QUIDEL""                                                                                               ",2432
BUENOS AIRES,"ASOCIACION CIVIL ""LA ESQUINITA""",643
BUENOS AIRES,ASOCIACION CIVIL “UNION DE TRABAJADORES PERSEVERA Y TRIUNFARAS” ,1849
BUENOS AIRES,ASOCIACION CIVIL ABRIENDO CAMINOS-MOV CARLOS ALMIRON,1078
BUENOS AIRES,ASOCIACION CIVIL ANDAR                                                                              ,2372
BUENOS AIRES,ASOCIACION CIVIL BARRIO LAMADRID                                                                    ,698
BUENOS AIRES,ASOCIACION CIVIL CAMINO DEL SOL,71
BUENOS AIRES,ASOCIACION CIVIL CAMINOS,1556
BUENOS AIRES,ASOCIACION CIVIL CENTRO DE LA TERCERA EDAD SAN ROQUE,292
BUENOS AIRES,ASOCIACION CIVIL CLUB ARGENTINO ARTURO JAURECHE                                                                                            ,713
BUENOS AIRES,ASOCIACION CIVIL COMPARTIENDO UN SUEÑO,659
BUENOS AIRES,ASOCIACION CIVIL DE IGUAL A IGUAL                                                                   ,1469
BUENOS AIRES,ASOCIACION CIVIL EL ENCUENTRO ,671
BUENOS AIRES,ASOCIACION CIVIL EL GALPON CULTURAL,587
BUENOS AIRES,ASOCIACION CIVIL FLORECER,706
BUENOS AIRES,ASOCIACION CIVIL GENERAR,150
BUENOS AIRES,ASOCIACION CIVIL HOGAR DE LA MADRE TRES VECES ADMIRABLE                                                              ,1244
BUENOS AIRES,ASOCIACION CIVIL HORNERITOS,569
BUENOS AIRES,ASOCIACION CIVIL JARDIN MATERNAL SAPITO RENGO,500
BUENOS AIRES,ASOCIACION CIVIL JARDIN MATERNO INFANTIL CASTILLITO DE ILUSIONES,79
BUENOS AIRES,ASOCIACION CIVIL LOS QUERANDIES DE TAPIALES,438
BUENOS AIRES,ASOCIACION CIVIL MANOS OBRERAS                                                                                                             ,1665
BUENOS AIRES,ASOCIACION CIVIL MUJERES 2000,1395
BUENOS AIRES,ASOCIACION CIVIL NUESTRA ESPERANZA,624
BUENOS AIRES,ASOCIACION CIVIL NUESTRO REFUGIO                                                                    ,202
BUENOS AIRES,ASOCIACION CIVIL NUEVO AMANECER,1095
BUENOS AIRES,ASOCIACION CIVIL OTRA OPORTUNIDAD                                                                                                          ,644
BUENOS AIRES,ASOCIACION CIVIL PUMAS DEL SUR ,2246
BUENOS AIRES,ASOCIACION CIVIL SANTA CLARA DE ASIS - ALMIRANTE BROWN,490
BUENOS AIRES,ASOCIACION CIVIL SIN FINES DE LUCRO “HABITAT NATURAL” ONG AMBIENTALISTA,618
BUENOS AIRES,ASOCIACION CIVIL UNIDOS PARA LA MATANZA,72
BUENOS AIRES,ASOCIACION CIVIL VIRGEN MARIA AUXILIADORA DE RAFAEL CASTILLO,350
BUENOS AIRES,ASOCIACION CIVIL VOLVER A EMPEZAR CON LOS PIBITOS DE SAN CARLOS,196
BUENOS AIRES,ASOCIACION CIVIL VOLVER A LA VIDA,140
BUENOS AIRES,ASOCIACION CIVL UNA NUEVA ESPERANZA,139
BUENOS AIRES,ASOCIACION COOPERADORA DE LA E.P.B Nº 42,3356
BUENOS AIRES,ASOCIACION COOPERADORA DEL ESTABLECIMIENTO EDUCATIVO EEE Nº 501,3321
